image_id,mask_path,readable,width,height,mode,unique_value_count,unique_values,binary_values,foreground_pixels,total_pixels,foreground_ratio,empty_mask,full_mask,connected_components,largest_component_fraction,touches_image_border,error,status
000001,D:\Biology-AI\data\Task1_Segmentation\masks\000001_segmentation.png,True,640,480,L,2,"0,255",True,161318,307200,0.5251236979166667,False,False,1,1.0,False,,OK
000002,D:\Biology-AI\data\Task1_Segmentation\masks\000002_segmentation.png,True,3008,2000,L,2,"0,255",True,56661,6016000,0.009418384308510639,False,False,1,1.0,False,,OK
000003,D:\Biology-AI\data\Task1_Segmentation\masks\000003_segmentation.png,True,639,602,L,2,"0,255",True,24931,384678,0.06481004892403516,False,False,1,1.0,False,,OK
000004,D:\Biology-AI\data\Task1_Segmentation\masks\000004_segmentation.png,True,1024,768,L,2,"0,255",True,43047,786432,0.054737091064453125,False,False,1,1.0,False,,OK
000005,D:\Biology-AI\data\Task1_Segmentation\masks\000005_segmentation.png,True,722,540,L,2,"0,255",True,277226,389880,0.7110546834923567,False,False,1,1.0,True,,OK
000006,D:\Biology-AI\data\Task1_Segmentation\masks\000006_segmentation.png,True,2592,1944,L,2,"0,255",True,37938,5038848,0.007529101889955799,False,False,1,1.0,False,,OK
000007,D:\Biology-AI\data\Task1_Segmentation\masks\000007_segmentation.png,True,6688,4459,L,2,"0,255",True,2909445,29821792,0.09756103858547467,False,False,1,1.0,False,,OK
000008,D:\Biology-AI\data\Task1_Segmentation\masks\000008_segmentation.png,True,4288,2848,L,2,"0,255",True,377500,12212224,0.030911650490524904,False,False,1,1.0,False,,OK
000009,D:\Biology-AI\data\Task1_Segmentation\masks\000009_segmentation.png,True,4288,2848,L,2,"0,255",True,678566,12212224,0.05556449013709542,False,False,1,1.0,False,,OK
000010,D:\Biology-AI\data\Task1_Segmentation\masks\000010_segmentation.png,True,1504,1129,L,2,"0,255",True,300761,1698016,0.17712495053050148,False,False,1,1.0,False,,OK
000011,D:\Biology-AI\data\Task1_Segmentation\masks\000011_segmentation.png,True,919,802,L,2,"0,255",True,387287,737038,0.5254640873333533,False,False,1,1.0,True,,OK
000012,D:\Biology-AI\data\Task1_Segmentation\masks\000012_segmentation.png,True,640,480,L,2,"0,255",True,64215,307200,0.209033203125,False,False,1,1.0,False,,OK
000013,D:\Biology-AI\data\Task1_Segmentation\masks\000013_segmentation.png,True,640,480,L,2,"0,255",True,42952,307200,0.13981770833333335,False,False,1,1.0,False,,OK
000014,D:\Biology-AI\data\Task1_Segmentation\masks\000014_segmentation.png,True,2592,1936,L,2,"0,255",True,274107,5018112,0.05462353171870217,False,False,1,1.0,False,,OK
000015,D:\Biology-AI\data\Task1_Segmentation\masks\000015_segmentation.png,True,3008,2000,L,2,"0,255",True,71365,6016000,0.011862533244680852,False,False,1,1.0,False,,OK
000016,D:\Biology-AI\data\Task1_Segmentation\masks\000016_segmentation.png,True,3072,2304,L,2,"0,255",True,2788474,7077888,0.3939697830765336,False,False,1,1.0,True,,OK
000017,D:\Biology-AI\data\Task1_Segmentation\masks\000017_segmentation.png,True,4288,2848,L,2,"0,255",True,660593,12212224,0.05409276803307899,False,False,1,1.0,False,,OK
000018,D:\Biology-AI\data\Task1_Segmentation\masks\000018_segmentation.png,True,3872,2592,L,2,"0,255",True,969225,10036224,0.09657267514156719,False,False,1,1.0,False,,OK
000019,D:\Biology-AI\data\Task1_Segmentation\masks\000019_segmentation.png,True,3872,2592,L,2,"0,255",True,324476,10036224,0.03233048604734211,False,False,1,1.0,False,,OK
000020,D:\Biology-AI\data\Task1_Segmentation\masks\000020_segmentation.png,True,3008,2000,L,2,"0,255",True,83288,6016000,0.013844414893617022,False,False,1,1.0,False,,OK
000021,D:\Biology-AI\data\Task1_Segmentation\masks\000021_segmentation.png,True,4288,2848,L,2,"0,255",True,595784,12212224,0.04878587225389904,False,False,1,1.0,False,,OK
000022,D:\Biology-AI\data\Task1_Segmentation\masks\000022_segmentation.png,True,4288,2848,L,2,"0,255",True,360181,12212224,0.029493481285636426,False,False,1,1.0,False,,OK
000023,D:\Biology-AI\data\Task1_Segmentation\masks\000023_segmentation.png,True,767,576,L,2,"0,255",True,145820,441792,0.3300648268868608,False,False,1,1.0,False,,OK
000024,D:\Biology-AI\data\Task1_Segmentation\masks\000024_segmentation.png,True,3024,2016,L,2,"0,255",True,280691,6096384,0.04604221125178466,False,False,1,1.0,False,,OK
000025,D:\Biology-AI\data\Task1_Segmentation\masks\000025_segmentation.png,True,1024,768,L,2,"0,255",True,665660,786432,0.8464304606119791,False,False,1,1.0,True,,OK
000026,D:\Biology-AI\data\Task1_Segmentation\masks\000026_segmentation.png,True,4288,2848,L,2,"0,255",True,333671,12212224,0.027322705512116383,False,False,1,1.0,False,,OK
000027,D:\Biology-AI\data\Task1_Segmentation\masks\000027_segmentation.png,True,4288,2848,L,2,"0,255",True,446722,12212224,0.03657990551106825,False,False,1,1.0,False,,OK
000028,D:\Biology-AI\data\Task1_Segmentation\masks\000028_segmentation.png,True,1024,768,L,2,"0,255",True,146432,786432,0.18619791666666666,False,False,1,1.0,False,,OK
000029,D:\Biology-AI\data\Task1_Segmentation\masks\000029_segmentation.png,True,4288,2848,L,2,"0,255",True,1935862,12212224,0.15851838289241993,False,False,1,1.0,False,,OK
000030,D:\Biology-AI\data\Task1_Segmentation\masks\000030_segmentation.png,True,4288,2848,L,2,"0,255",True,271056,12212224,0.022195465789032365,False,False,1,1.0,False,,OK
000031,D:\Biology-AI\data\Task1_Segmentation\masks\000031_segmentation.png,True,3072,2304,L,2,"0,255",True,1949009,7077888,0.2753659001103154,False,False,1,1.0,False,,OK
000032,D:\Biology-AI\data\Task1_Segmentation\masks\000032_segmentation.png,True,959,723,L,2,"0,255",True,114133,693357,0.1646092849715226,False,False,1,1.0,False,,OK
000033,D:\Biology-AI\data\Task1_Segmentation\masks\000033_segmentation.png,True,3008,2000,L,2,"0,255",True,169806,6016000,0.028225731382978722,False,False,1,1.0,False,,OK
000034,D:\Biology-AI\data\Task1_Segmentation\masks\000034_segmentation.png,True,1024,768,L,2,"0,255",True,367804,786432,0.4676869710286458,False,False,1,1.0,False,,OK
000035,D:\Biology-AI\data\Task1_Segmentation\masks\000035_segmentation.png,True,6682,4382,L,2,"0,255",True,4421947,29280524,0.15102007737293227,False,False,1,1.0,False,,OK
000036,D:\Biology-AI\data\Task1_Segmentation\masks\000036_segmentation.png,True,1024,768,L,2,"0,255",True,97510,786432,0.12399037679036458,False,False,1,1.0,False,,OK
000037,D:\Biology-AI\data\Task1_Segmentation\masks\000037_segmentation.png,True,6668,4439,L,2,"0,255",True,7431913,29599252,0.2510844868647356,False,False,1,1.0,False,,OK
000038,D:\Biology-AI\data\Task1_Segmentation\masks\000038_segmentation.png,True,4288,2848,L,2,"0,255",True,880792,12212224,0.07212379989099446,False,False,1,1.0,False,,OK
000039,D:\Biology-AI\data\Task1_Segmentation\masks\000039_segmentation.png,True,6668,4459,L,2,"0,255",True,19025913,29732612,0.6399004904110005,False,False,1,1.0,False,,OK
000040,D:\Biology-AI\data\Task1_Segmentation\masks\000040_segmentation.png,True,824,719,L,2,"0,255",True,233913,592456,0.3948191933240612,False,False,1,1.0,False,,OK
000041,D:\Biology-AI\data\Task1_Segmentation\masks\000041_segmentation.png,True,3008,2000,L,2,"0,255",True,68965,6016000,0.011463597074468085,False,False,1,1.0,False,,OK
000042,D:\Biology-AI\data\Task1_Segmentation\masks\000042_segmentation.png,True,3072,2304,L,2,"0,255",True,947867,7077888,0.1339194686324508,False,False,1,1.0,False,,OK
000043,D:\Biology-AI\data\Task1_Segmentation\masks\000043_segmentation.png,True,3072,2304,L,2,"0,255",True,1130742,7077888,0.1597569783528646,False,False,1,1.0,False,,OK
000044,D:\Biology-AI\data\Task1_Segmentation\masks\000044_segmentation.png,True,3872,2592,L,2,"0,255",True,1271507,10036224,0.12669177172609938,False,False,1,1.0,False,,OK
